,id,deveui,unix_time,client_id,created_at,Status,Sensor ID,Events,Height,Voltage,Temperature,Tilt,Tx Event,Messagetype
7192,597768,70B3D50070001786,1588978182055,hi3,2020-05-09 00:49:42.239294,"['SS', 'Standalone', 'version_184']",70001786,SENS_EVENT_MEASURE,66 cm,3600 mV,11 C,1 Degree,140 Times,
7191,598003,70B3D50070001786,1588981762438,hi3,2020-05-09 01:49:22.615006,"['SS', 'Standalone', 'version_184']",70001786,SENS_EVENT_MEASURE,64 cm,3600 mV,11 C,2 Degree,141 Times,
7190,598248,70B3D50070001786,1588985362150,hi3,2020-05-09 02:49:22.326071,"['SS', 'Standalone', 'version_184']",70001786,SENS_EVENT_MEASURE,66 cm,3580 mV,12 C,2 Degree,142 Times,
7189,598746,70B3D50070001786,1588992561832,hi3,2020-05-09 04:49:21.998151,"['SS', 'Standalone', 'version_184']",70001786,SENS_EVENT_MEASURE,66 cm,3590 mV,11 C,2 Degree,144 Times,
7188,599016,70B3D50070001786,1588996161663,hi3,2020-05-09 05:49:21.825736,"['SS', 'Standalone', 'version_184']",70001786,SENS_EVENT_MEASURE,66 cm,3600 mV,10 C,2 Degree,145 Times,
7187,599527,70B3D50070001786,1589003361346,hi3,2020-05-09 07:49:21.501532,"['SS', 'Standalone', 'version_184']",70001786,SENS_EVENT_MEASURE,66 cm,3610 mV,9 C,2 Degree,147 Times,
7186,599769,70B3D50070001786,1589006961177,hi3,2020-05-09 08:49:21.328241,"['SS', 'Standalone', 'version_184']",70001786,SENS_EVENT_MEASURE,66 cm,3620 mV,11 C,2 Degree,148 Times,
7185,600027,70B3D50070001786,1589010561008,hi3,2020-05-09 09:49:21.15612,"['SS', 'Standalone', 'version_184']",70001786,SENS_EVENT_MEASURE,60 cm,3620 mV,13 C,2 Degree,149 Times,
7184,600270,70B3D50070001786,1589014160819,hi3,2020-05-09 10:49:20.963924,"['SS', 'Standalone', 'version_184']",70001786,SENS_EVENT_MEASURE,54 cm,3630 mV,15 C,3 Degree,150 Times,
7183,600760,70B3D50070001786,1589021360441,hi3,2020-05-09 12:49:20.580541,"['SS', 'Standalone', 'version_184']",70001786,SENS_EVENT_MEASURE,54 cm,3630 mV,15 C,2 Degree,152 Times,
7182,601005,70B3D50070001786,1589024960252,hi3,2020-05-09 13:49:20.388335,"['SS', 'Standalone', 'version_184']",70001786,SENS_EVENT_MEASURE,62 cm,3630 mV,17 C,1 Degree,153 Times,
7181,601517,70B3D50070001786,1589032159895,hi3,2020-05-09 15:49:20.023536,"['SS', 'Standalone', 'version_184']",70001786,SENS_EVENT_MEASURE,62 cm,3630 mV,14 C,2 Degree,155 Times,
7180,601757,70B3D50070001786,1589035759726,hi3,2020-05-09 16:49:19.851364,"['SS', 'Standalone', 'version_184']",70001786,SENS_EVENT_MEASURE,56 cm,3630 mV,14 C,1 Degree,156 Times,
7179,602015,70B3D50070001786,1589039359537,hi3,2020-05-09 17:49:19.660089,"['SS', 'Standalone', 'version_184']",70001786,SENS_EVENT_MEASURE,56 cm,3630 mV,14 C,2 Degree,157 Times,
