,id,deveui,unix_time,client_id,created_at,Status,Sensor ID,Events,Height,Voltage,Temperature,Tilt,Tx Event,Messagetype
2684,2984781,70B3D5007000172B,1608707058758,FES Receiver,2020-12-23 08:04:18.778337,"['SS', 'Standalone', 'version_184']",7000172b,SENS_EVENT_MEASURE,72 cm,3620 mV,10 C,0 Degree,168 Times,
2683,2985036,70B3D5007000172B,1608710658638,FES Receiver,2020-12-23 09:04:18.644223,"['SS', 'Standalone', 'version_184']",7000172b,SENS_EVENT_MEASURE,72 cm,3620 mV,9 C,1 Degree,169 Times,
2682,2985321,70B3D5007000172B,1608714258497,FES Receiver,2020-12-23 10:04:18.551202,"['SS', 'Standalone', 'version_184']",7000172b,SENS_EVENT_MEASURE,72 cm,3620 mV,9 C,0 Degree,170 Times,
2681,2985575,70B3D5007000172B,1608717858396,FES Receiver,2020-12-23 11:04:18.373218,"['SS', 'Standalone', 'version_184']",7000172b,SENS_EVENT_MEASURE,72 cm,3620 mV,11 C,0 Degree,171 Times,
2680,2985833,70B3D5007000172B,1608721458296,FES Receiver,2020-12-23 12:04:18.262358,"['SS', 'Standalone', 'version_184']",7000172b,SENS_EVENT_MEASURE,72 cm,3620 mV,11 C,0 Degree,172 Times,
2679,2986121,70B3D5007000172B,1608725058117,FES Receiver,2020-12-23 13:04:18.06719,"['SS', 'Standalone', 'version_184']",7000172b,SENS_EVENT_MEASURE,72 cm,3620 mV,11 C,1 Degree,173 Times,
2678,2986408,70B3D5007000172B,1608728658001,FES Receiver,2020-12-23 14:04:17.936176,"['SS', 'Standalone', 'version_184']",7000172b,SENS_EVENT_MEASURE,70 cm,3620 mV,11 C,1 Degree,174 Times,
2677,2986976,70B3D5007000172B,1608735857754,FES Receiver,2020-12-23 16:04:17.661077,"['SS', 'Standalone', 'version_184']",7000172b,SENS_EVENT_MEASURE,70 cm,3620 mV,9 C,1 Degree,176 Times,
2676,2987257,70B3D5007000172B,1608739457635,FES Receiver,2020-12-23 17:04:17.529113,"['SS', 'Standalone', 'version_184']",7000172b,SENS_EVENT_MEASURE,70 cm,3620 mV,9 C,1 Degree,177 Times,
2675,2987545,70B3D5007000172B,1608743057513,FES Receiver,2020-12-23 18:04:17.391352,"['SS', 'Standalone', 'version_184']",7000172b,SENS_EVENT_MEASURE,70 cm,3620 mV,9 C,1 Degree,178 Times,
