,id,deveui,unix_time,client_id,created_at,Status,Sensor ID,Events,Height,Voltage,Temperature,Tilt,Tx Event,Messagetype
2731,2896046,70B3D5007000171F,1607755126146,FES Receiver,2020-12-12 07:38:46.17408,"['SS', 'Standalone', 'version_184']",7000171f,SENS_EVENT_MEASURE,64 cm,3590 mV,10 C,1 Degree,232 Times,
2730,2896423,70B3D5007000171F,1607758726032,FES Receiver,2020-12-12 08:38:46.045083,"['SS', 'Standalone', 'version_184']",7000171f,SENS_EVENT_MEASURE,116 cm,3590 mV,11 C,0 Degree,233 Times,
2729,2897178,70B3D5007000171F,1607765925824,FES Receiver,2020-12-12 10:38:45.833941,"['SS', 'Standalone', 'version_184']",7000171f,SENS_EVENT_MEASURE,108 cm,3590 mV,8 C,1 Degree,235 Times,
2728,2897550,70B3D5007000171F,1607769525703,FES Receiver,2020-12-12 11:38:45.67509,"['SS', 'Standalone', 'version_184']",7000171f,SENS_EVENT_MEASURE,108 cm,3590 mV,12 C,1 Degree,236 Times,
2727,2897884,70B3D5007000171F,1607773125589,FES Receiver,2020-12-12 12:38:45.545928,"['SS', 'Standalone', 'version_184']",7000171f,SENS_EVENT_MEASURE,108 cm,3590 mV,11 C,1 Degree,237 Times,
2726,2898703,70B3D5007000171F,1607783925241,FES Receiver,2020-12-12 15:38:45.167962,"['SS', 'Standalone', 'version_184']",7000171f,SENS_EVENT_MEASURE,106 cm,3590 mV,11 C,1 Degree,240 Times,
2725,2898981,70B3D5007000171F,1607787525145,FES Receiver,2020-12-12 16:38:45.047056,"['SS', 'Standalone', 'version_184']",7000171f,SENS_EVENT_MEASURE,106 cm,3590 mV,11 C,1 Degree,241 Times,
2724,2899529,70B3D5007000171F,1607794724900,FES Receiver,2020-12-12 18:38:44.775097,"['SS', 'Standalone', 'version_184']",7000171f,SENS_EVENT_MEASURE,100 cm,3590 mV,10 C,0 Degree,243 Times,
2723,2899815,70B3D5007000171F,1607798326253,FES Receiver,2020-12-12 19:38:46.453022,"['SS', 'Standalone', 'version_184']",7000171f,SENS_EVENT_MEASURE,102 cm,3590 mV,11 C,1 Degree,244 Times,
2722,2900079,70B3D5007000171F,1607801926133,FES Receiver,2020-12-12 20:38:46.321017,"['SS', 'Standalone', 'version_184']",7000171f,SENS_EVENT_MEASURE,102 cm,3590 mV,13 C,1 Degree,245 Times,
2721,2900358,70B3D5007000171F,1607805526012,FES Receiver,2020-12-12 21:38:46.176017,"['SS', 'Standalone', 'version_184']",7000171f,SENS_EVENT_MEASURE,102 cm,3590 mV,10 C,1 Degree,246 Times,
2720,2900651,70B3D5007000171F,1607809125898,FES Receiver,2020-12-12 22:38:46.058004,"['SS', 'Standalone', 'version_184']",7000171f,SENS_EVENT_MEASURE,102 cm,3590 mV,13 C,0 Degree,247 Times,
2719,2900940,70B3D5007000171F,1607812725791,FES Receiver,2020-12-12 23:38:45.926964,"['SS', 'Standalone', 'version_184']",7000171f,SENS_EVENT_MEASURE,102 cm,3590 mV,12 C,1 Degree,248 Times,
2718,2901234,70B3D5007000171F,1607816325671,FES Receiver,2020-12-13 00:38:45.792001,"['SS', 'Standalone', 'version_184']",7000171f,SENS_EVENT_MEASURE,100 cm,3590 mV,11 C,1 Degree,249 Times,
2717,2901528,70B3D5007000171F,1607819925571,FES Receiver,2020-12-13 01:38:45.684044,"['SS', 'Standalone', 'version_184']",7000171f,SENS_EVENT_MEASURE,102 cm,3590 mV,13 C,1 Degree,250 Times,
2716,2901836,70B3D5007000171F,1607823525450,FES Receiver,2020-12-13 02:38:45.547362,"['SS', 'Standalone', 'version_184']",7000171f,SENS_EVENT_MEASURE,102 cm,3590 mV,14 C,1 Degree,251 Times,
2715,2902159,70B3D5007000171F,1607827125331,FES Receiver,2020-12-13 03:38:45.410021,"['SS', 'Standalone', 'version_184']",7000171f,SENS_EVENT_MEASURE,102 cm,3590 mV,13 C,0 Degree,252 Times,
2714,2902468,70B3D5007000171F,1607830725210,FES Receiver,2020-12-13 04:38:47.755573,"['SS', 'Standalone', 'version_184']",7000171f,SENS_EVENT_MEASURE,102 cm,3590 mV,13 C,0 Degree,253 Times,
2713,2902750,70B3D5007000171F,1607834325089,FES Receiver,2020-12-13 05:38:45.149884,"['SS', 'Standalone', 'version_184']",7000171f,SENS_EVENT_MEASURE,100 cm,3590 mV,12 C,0 Degree,254 Times,
