,id,deveui,unix_time,client_id,created_at,Status,Sensor ID,Events,Height,Voltage,Temperature,Tilt,Tx Event,Messagetype
3002,597960,70B3D50070001770,1588980936911,hi3,2020-05-09 01:35:37.088621,"['SS', 'Standalone', 'version_184']",70001770,SENS_EVENT_MEASURE,94 cm,3630 mV,13 C,40 Degree,118 Times,
3001,598194,70B3D50070001770,1588984536743,hi3,2020-05-09 02:35:36.917195,"['SS', 'Standalone', 'version_184']",70001770,SENS_EVENT_MEASURE,94 cm,3630 mV,12 C,41 Degree,119 Times,
3000,598455,70B3D50070001770,1588988154633,hi3,2020-05-09 03:35:54.807001,"['SS', 'Standalone', 'version_184']",70001770,SENS_EVENT_MEASURE,94 cm,3630 mV,11 C,41 Degree,120 Times,
2999,599721,70B3D50070001770,1589006135849,hi3,2020-05-09 08:35:36.004925,"['SS', 'Standalone', 'version_184']",70001770,SENS_EVENT_MEASURE,92 cm,3630 mV,14 C,41 Degree,125 Times,
2998,599980,70B3D50070001770,1589009735652,hi3,2020-05-09 09:35:35.803816,"['SS', 'Standalone', 'version_184']",70001770,SENS_EVENT_MEASURE,90 cm,3630 mV,13 C,41 Degree,126 Times,
2997,600218,70B3D50070001770,1589013335624,hi3,2020-05-09 10:35:35.773762,"['SS', 'Standalone', 'version_184']",70001770,SENS_EVENT_MEASURE,92 cm,3630 mV,15 C,40 Degree,127 Times,
2996,600470,70B3D50070001770,1589016935433,hi3,2020-05-09 11:35:35.576166,"['SS', 'Standalone', 'version_184']",70001770,SENS_EVENT_MEASURE,92 cm,3630 mV,16 C,41 Degree,128 Times,
2995,601196,70B3D50070001770,1589027734647,hi3,2020-05-09 14:35:34.781297,"['SS', 'Standalone', 'version_184']",70001770,SENS_EVENT_MEASURE,92 cm,3640 mV,15 C,41 Degree,131 Times,
2994,601465,70B3D50070001770,1589031334377,hi3,2020-05-09 15:35:34.506836,"['SS', 'Standalone', 'version_184']",70001770,SENS_EVENT_MEASURE,86 cm,3630 mV,16 C,41 Degree,132 Times,
2993,601709,70B3D50070001770,1589034934170,hi3,2020-05-09 16:35:34.295786,"['SS', 'Standalone', 'version_184']",70001770,SENS_EVENT_MEASURE,86 cm,3630 mV,15 C,40 Degree,133 Times,
2992,602509,70B3D50070001770,1589045735268,hi3,2020-05-09 19:35:35.443428,"['SS', 'Standalone', 'version_184']",70001770,SENS_EVENT_MEASURE,84 cm,3640 mV,14 C,41 Degree,136 Times,
2991,603261,70B3D50070001770,1589056534707,hi3,2020-05-09 22:35:34.873629,"['SS', 'Standalone', 'version_184']",70001770,SENS_EVENT_MEASURE,86 cm,3630 mV,13 C,41 Degree,139 Times,
2990,603517,70B3D50070001770,1589060134558,hi3,2020-05-09 23:35:34.719058,"['SS', 'Standalone', 'version_184']",70001770,SENS_EVENT_MEASURE,86 cm,3630 mV,12 C,41 Degree,140 Times,
2989,603765,70B3D50070001770,1589063734340,hi3,2020-05-10 00:35:34.497364,"['SS', 'Standalone', 'version_184']",70001770,SENS_EVENT_MEASURE,86 cm,3630 mV,14 C,40 Degree,141 Times,
