time_stamp,Height,Temperature,Tilt,lfilter,mov_avg,min_avg,device_id,inter_pol
2020-05-09,95.30434782608695,20.26086956521739,7.521739130434782,14.859420289855072,,,70B3D500700016FA,117.10671936758894
2020-05-10,138.9090909090909,25.681818181818183,7.2727272727272725,63.26818181818182,117.10671936758894,71.5,70B3D500700016FA,117.10671936758894
2020-05-11,137.45454545454547,14.045454545454545,7.954545454545454,112.78787878787875,138.1818181818182,132.27272727272728,70B3D500700016FA,138.1818181818182
2020-05-12,130.0909090909091,20.318181818181817,7.681818181818182,136.46212121212122,133.77272727272725,127.45454545454545,70B3D500700016FA,133.77272727272725
2020-05-13,124.25,19.708333333333332,7.458333333333333,131.86944444444444,127.17045454545453,120.91666666666667,70B3D500700016FA,127.17045454545453
2020-05-14,122.0,20.565217391304348,7.6521739130434785,126.98695652173915,123.12499999999999,116.17391304347827,70B3D500700016FA,123.12499999999999
2020-05-15,121.52941176470588,23.41176470588235,7.352941176470588,123.42352941176469,121.76470588235293,112.0,70B3D500700016FA,121.76470588235293
2020-05-16,,18.803998832457676,7.599231262518132,,,,70B3D500700016FA,119.07040998217467
2020-05-17,116.0,20.2,7.0,122.46000000000001,,113.2,70B3D500700016FA,116.37611408199642
2020-05-18,111.36363636363636,29.181818181818183,7.181818181818182,119.79848484848486,113.68181818181816,108.63636363636364,70B3D500700016FA,113.68181818181816
2020-05-19,107.0,26.1875,7.375,114.96458333333331,109.18181818181816,102.5,70B3D500700016FA,109.18181818181816
2020-05-20,98.36363636363636,29.363636363636363,7.363636363636363,110.82121212121216,102.68181818181816,96.0,70B3D500700016FA,102.68181818181816
2020-05-21,95.05263157894737,31.42105263157895,7.2631578947368425,105.27017543859648,96.70813397129186,93.6842105263158,70B3D500700016FA,96.70813397129186
2020-05-22,90.88888888888889,27.0,7.166666666666667,99.48333333333329,92.97076023391811,89.66666666666667,70B3D500700016FA,92.97076023391811
2020-05-23,85.44444444444444,20.72222222222222,7.555555555555555,93.55925925925928,88.16666666666666,83.55555555555556,70B3D500700016FA,88.16666666666666
2020-05-24,80.73684210526316,22.42105263157895,7.7894736842105265,88.7824561403509,83.09064327485379,77.47368421052632,70B3D500700016FA,83.09064327485379
2020-05-25,78.95238095238095,25.238095238095237,7.238095238095238,83.70476190476187,79.84461152882204,74.0,70B3D500700016FA,79.84461152882204
2020-05-26,74.18181818181819,25.40909090909091,7.363636363636363,79.76515151515149,76.56709956709955,72.45454545454545,70B3D500700016FA,76.56709956709955
2020-05-27,69.3,27.75,7.2,75.50333333333337,71.74090909090907,68.0,70B3D500700016FA,71.74090909090907
2020-05-28,68.9090909090909,27.636363636363637,7.363636363636363,72.25454545454546,69.10454545454544,65.27272727272727,70B3D500700016FA,69.10454545454544
2020-05-29,62.36363636363637,31.363636363636363,7.363636363636363,68.94545454545455,65.63636363636363,60.0,70B3D500700016FA,65.63636363636363
2020-05-30,103.9090909090909,26.59090909090909,7.318181818181818,71.42424242424241,83.13636363636363,57.45454545454545,70B3D500700016FA,83.13636363636363
2020-05-31,131.9090909090909,27.318181818181817,6.863636363636363,92.41363636363637,117.90909090909089,74.54545454545455,70B3D500700016FA,117.90909090909089
2020-06-01,131.72727272727272,30.272727272727273,7.0,116.56060606060609,131.8181818181818,124.0909090909091,70B3D500700016FA,131.8181818181818
2020-06-02,122.38095238095238,31.523809523809526,7.0476190476190474,130.37619047619052,127.05411255411254,121.71428571428571,70B3D500700016FA,127.05411255411254
2020-06-03,115.8,31.4,7.05,125.93833333333332,119.09047619047618,113.8,70B3D500700016FA,119.09047619047618
2020-06-04,110.0,21.55,7.3,119.13999999999994,112.89999999999998,108.9,70B3D500700016FA,112.89999999999998
2020-06-05,110.58823529411765,20.176470588235293,7.411764705882353,113.69803921568622,110.29411764705881,108.0,70B3D500700016FA,110.29411764705881
2020-06-06,110.57142857142857,21.904761904761905,7.523809523809524,111.331746031746,110.57983193277309,107.52380952380952,70B3D500700016FA,110.57983193277309
2020-06-07,100.8,25.8,7.45,109.21499999999999,105.68571428571427,100.0,70B3D500700016FA,105.68571428571427
2020-06-08,97.33333333333333,26.238095238095237,7.333333333333333,104.86984126984123,99.06666666666665,94.0,70B3D500700016FA,99.06666666666665
2020-06-09,93.56521739130434,22.956521739130434,7.521739130434782,99.87101449275364,95.44927536231882,89.91304347826087,70B3D500700016FA,95.44927536231882
2020-06-10,81.1304347826087,21.608695652173914,7.565217391304348,92.36666666666667,87.3478260869565,78.0,70B3D500700016FA,87.3478260869565
2020-06-11,85.5,22.15,7.5,87.79000000000002,83.31521739130434,78.6,70B3D500700016FA,83.31521739130434
2020-06-12,81.14285714285714,32.19047619047619,7.142857142857143,83.47142857142853,83.32142857142856,80.0,70B3D500700016FA,83.32142857142856
2020-06-13,79.2,33.2,6.8,82.57999999999996,80.17142857142855,77.4,70B3D500700016FA,80.17142857142855
2020-06-14,74.26086956521739,24.434782608695652,7.260869565217392,79.64202898550724,76.73043478260868,73.3913043478261,70B3D500700016FA,76.73043478260868
2020-06-15,71.36842105263158,22.94736842105263,7.368421052631579,76.08421052631581,72.81464530892447,68.73684210526316,70B3D500700016FA,72.81464530892447
2020-06-16,69.0,22.727272727272727,7.409090909090909,73.19848484848484,70.18421052631578,65.0909090909091,70B3D500700016FA,70.18421052631578
2020-06-17,61.65217391304348,27.130434782608695,7.391304347826087,68.96811594202899,65.32608695652172,58.78260869565217,70B3D500700016FA,65.32608695652172
