time_stamp,Height,Temperature,Tilt,lfilter,mov_avg,min_avg,device_id,inter_pol
2020-05-09,44.18181818181818,12.772727272727273,4.863636363636363,8.837878787878786,,,70B3D50070001734,40.39090909090909
2020-05-10,36.6,18.3,4.65,22.961666666666666,40.39090909090909,34.76923076923077,70B3D50070001734,40.39090909090909
2020-05-11,29.263157894736842,6.473684210526316,4.947368421052632,33.25438596491229,32.93157894736842,27.68421052631579,70B3D50070001734,32.93157894736842
2020-05-12,22.08695652173913,14.0,5.043478260869565,32.568115942028975,25.675057208237988,20.347826086956523,70B3D50070001734,25.675057208237988
2020-05-13,16.583333333333332,14.875,4.916666666666667,24.91805555555555,19.33514492753623,14.0,70B3D50070001734,19.33514492753623
2020-05-14,6.571428571428571,13.904761904761905,4.809523809523809,17.355555555555547,11.577380952380953,4.095238095238095,70B3D50070001734,11.577380952380953
2020-05-15,6.625,17.6875,5.0,12.014583333333327,6.598214285714286,2.0,70B3D50070001734,6.598214285714286
2020-05-16,,12.483247422680412,5.199910950217989,,,,70B3D50070001734,5.716991341991342
2020-05-17,4.0,15.8,5.2,9.299999999999997,,2.8,70B3D50070001734,4.8357683982683985
2020-05-18,3.909090909090909,23.272727272727273,4.909090909090909,6.510606060606059,3.9545454545454546,2.6363636363636362,70B3D50070001734,3.9545454545454546
2020-05-19,4.0,27.75,4.791666666666667,4.806944444444442,3.9545454545454546,2.75,70B3D50070001734,3.9545454545454546
2020-05-20,4.0,22.4,5.0,3.981666666666669,4.0,4.0,70B3D50070001734,4.0
2020-05-21,4.0,28.454545454545453,4.909090909090909,3.99848484848485,4.0,4.0,70B3D50070001734,4.0
2020-05-22,39.916666666666664,21.291666666666668,5.166666666666667,6.329166666666668,21.958333333333332,4.0,70B3D50070001734,21.958333333333332
2020-05-23,129.56521739130434,12.391304347826088,5.304347826086956,43.92028985507245,84.7409420289855,8.26086956521739,70B3D50070001734,84.7409420289855
2020-05-24,125.56521739130434,15.347826086956522,5.478260869565218,90.64637681159415,127.56521739130434,122.0,70B3D50070001734,127.56521739130434
2020-05-25,123.3913043478261,18.08695652173913,5.3478260869565215,124.68840579710145,124.47826086956522,120.08695652173913,70B3D50070001734,124.47826086956522
2020-05-26,119.42857142857143,17.714285714285715,5.0,124.06666666666663,121.40993788819875,116.0,70B3D50070001734,121.40993788819875
2020-05-27,115.7,24.05,5.3,120.92999999999995,117.56428571428572,111.8,70B3D50070001734,117.56428571428572
2020-05-28,111.9090909090909,19.818181818181817,5.045454545454546,117.35606060606055,113.80454545454546,109.72727272727273,70B3D50070001734,113.80454545454546
2020-05-29,110.0,29.0,5.153846153846154,113.72820512820509,110.95454545454545,108.0,70B3D50070001734,110.95454545454545
2020-05-30,103.56521739130434,20.91304347826087,5.086956521739131,111.1260869565217,106.78260869565217,102.8695652173913,70B3D50070001734,106.78260869565217
2020-05-31,98.08695652173913,21.608695652173914,5.173913043478261,105.66521739130438,100.82608695652173,96.52173913043478,70B3D50070001734,100.82608695652173
2020-06-01,94.76190476190476,27.761904761904763,5.190476190476191,100.07460317460313,96.42443064182194,92.0,70B3D50070001734,96.42443064182194
2020-06-02,93.15789473684211,26.789473684210527,5.052631578947368,96.55087719298241,93.95989974937343,90.94736842105263,70B3D50070001734,93.95989974937343
2020-06-03,85.8,23.25,5.1,93.25333333333333,89.47894736842105,85.1,70B3D50070001734,89.47894736842105
2020-06-04,78.6,13.7,5.4,88.7833333333333,82.19999999999999,78.0,70B3D50070001734,82.19999999999999
2020-06-05,100.81818181818181,11.681818181818182,5.181818181818182,84.40909090909093,89.7090909090909,74.0,70B3D50070001734,89.7090909090909
2020-06-06,129.1818181818182,13.5,5.181818181818182,97.22121212121215,115.0,80.81818181818181,70B3D50070001734,115.0
2020-06-07,120.63636363636364,16.681818181818183,5.136363636363637,113.75151515151514,124.9090909090909,117.9090909090909,70B3D50070001734,124.9090909090909
2020-06-08,112.76190476190476,18.80952380952381,5.238095238095238,122.94920634920638,116.69913419913419,110.57142857142857,70B3D50070001734,116.69913419913419
2020-06-09,109.3,14.15,4.95,116.54333333333332,111.03095238095239,108.0,70B3D50070001734,111.03095238095239
2020-06-10,110.28571428571429,13.571428571428571,5.238095238095238,111.60793650793646,109.79285714285714,108.0,70B3D50070001734,109.79285714285714
2020-06-11,108.34782608695652,14.869565217391305,4.956521739130435,110.06376811594201,109.3167701863354,105.65217391304348,70B3D50070001734,109.3167701863354
2020-06-12,102.33333333333333,26.625,5.166666666666667,107.7916666666667,105.34057971014492,99.5,70B3D50070001734,105.34057971014492
2020-06-13,96.8695652173913,25.391304347826086,5.0,104.10289855072469,99.60144927536231,95.3913043478261,70B3D50070001734,99.60144927536231
2020-06-14,90.66666666666667,18.38095238095238,5.0476190476190474,98.1047619047619,93.76811594202898,88.0,70B3D50070001734,93.76811594202898
2020-06-15,86.6086956521739,17.217391304347824,5.0,93.46666666666665,88.63768115942028,85.30434782608695,70B3D50070001734,88.63768115942028
2020-06-16,80.11111111111111,15.833333333333334,5.222222222222222,87.83333333333329,83.35990338164251,79.55555555555556,70B3D50070001734,83.35990338164251
2020-06-17,76.45454545454545,20.90909090909091,5.181818181818182,83.38484848484849,78.28282828282829,76.0,70B3D50070001734,78.28282828282829
2020-06-18,73.18181818181819,22.318181818181817,5.090909090909091,78.22272727272727,74.81818181818181,72.63636363636364,70B3D50070001734,74.81818181818181
2020-06-19,100.10526315789474,22.526315789473685,5.2631578947368425,76.94912280701757,86.64354066985646,70.0,70B3D50070001734,86.64354066985646
