,id,deveui,unix_time,client_id,created_at,Status,Sensor ID,Events,Height,Voltage,Temperature,Tilt,Tx Event,Messagetype
6761,834651,70B3D5007000173E,1592445512837,FES Receiver,2020-06-18 03:58:32.990805,"['SS', 'Standalone', 'version_184']",7000173e,SENS_EVENT_MEASURE,74 cm,3610 mV,25 C,1 Degree,109 Times,
6760,834869,70B3D5007000173E,1592449112744,FES Receiver,2020-06-18 04:58:32.891577,"['SS', 'Standalone', 'version_184']",7000173e,SENS_EVENT_MEASURE,74 cm,3620 mV,23 C,1 Degree,110 Times,
6759,835115,70B3D5007000173E,1592452712615,FES Receiver,2020-06-18 05:58:32.758862,"['SS', 'Standalone', 'version_184']",7000173e,SENS_EVENT_MEASURE,74 cm,3620 mV,22 C,1 Degree,111 Times,
6758,835346,70B3D5007000173E,1592456312466,FES Receiver,2020-06-18 06:58:32.617198,"['SS', 'Standalone', 'version_184']",7000173e,SENS_EVENT_MEASURE,74 cm,3620 mV,21 C,1 Degree,112 Times,
6757,835602,70B3D5007000173E,1592459912221,FES Receiver,2020-06-18 07:58:32.35637,"['SS', 'Standalone', 'version_184']",7000173e,SENS_EVENT_MEASURE,72 cm,3620 mV,22 C,2 Degree,113 Times,
6756,835891,70B3D5007000173E,1592463512072,FES Receiver,2020-06-18 08:58:32.201651,"['SS', 'Standalone', 'version_184']",7000173e,SENS_EVENT_MEASURE,72 cm,3630 mV,32 C,1 Degree,114 Times,
6755,836167,70B3D5007000173E,1592467111998,FES Receiver,2020-06-18 09:58:32.124141,"['SS', 'Standalone', 'version_184']",7000173e,SENS_EVENT_MEASURE,78 cm,3640 mV,37 C,1 Degree,115 Times,
6754,836438,70B3D5007000173E,1592470691713,FES Receiver,2020-06-18 10:58:11.836275,"['SS', 'Standalone', 'version_184']",7000173e,SENS_EVENT_MEASURE,78 cm,3640 mV,32 C,1 Degree,116 Times,
6753,836717,70B3D5007000173E,1592474291580,FES Receiver,2020-06-18 11:58:11.698874,"['SS', 'Standalone', 'version_184']",7000173e,SENS_EVENT_MEASURE,72 cm,3640 mV,29 C,1 Degree,117 Times,
6752,836976,70B3D5007000173E,1592477891351,FES Receiver,2020-06-18 12:58:11.464451,"['SS', 'Standalone', 'version_184']",7000173e,SENS_EVENT_MEASURE,70 cm,3630 mV,31 C,2 Degree,118 Times,
6751,837233,70B3D5007000173E,1592481491206,FES Receiver,2020-06-18 13:58:11.31493,"['SS', 'Standalone', 'version_184']",7000173e,SENS_EVENT_MEASURE,64 cm,3630 mV,32 C,2 Degree,119 Times,
6750,837486,70B3D5007000173E,1592485091056,FES Receiver,2020-06-18 14:58:11.161788,"['SS', 'Standalone', 'version_184']",7000173e,SENS_EVENT_MEASURE,68 cm,3640 mV,30 C,2 Degree,120 Times,
6749,837762,70B3D5007000173E,1592488690864,FES Receiver,2020-06-18 15:58:10.968011,"['SS', 'Standalone', 'version_184']",7000173e,SENS_EVENT_MEASURE,70 cm,3630 mV,32 C,1 Degree,121 Times,
6748,838285,70B3D5007000173E,1592495890605,FES Receiver,2020-06-18 17:58:10.6976,"['SS', 'Standalone', 'version_184']",7000173e,SENS_EVENT_MEASURE,70 cm,3640 mV,46 C,1 Degree,123 Times,
6747,838512,70B3D5007000173E,1592499490396,FES Receiver,2020-06-18 18:58:10.48437,"['SS', 'Standalone', 'version_184']",7000173e,SENS_EVENT_MEASURE,74 cm,3640 mV,45 C,2 Degree,124 Times,
6746,838766,70B3D5007000173E,1592503091931,FES Receiver,2020-06-18 19:58:12.081966,"['SS', 'Standalone', 'version_184']",7000173e,SENS_EVENT_MEASURE,74 cm,3640 mV,33 C,2 Degree,125 Times,
6745,839010,70B3D5007000173E,1592506691782,FES Receiver,2020-06-18 20:58:11.927485,"['SS', 'Standalone', 'version_184']",7000173e,SENS_EVENT_MEASURE,72 cm,3640 mV,30 C,2 Degree,126 Times,
6744,839268,70B3D5007000173E,1592510291617,FES Receiver,2020-06-18 21:58:11.758151,"['SS', 'Standalone', 'version_184']",7000173e,SENS_EVENT_MEASURE,72 cm,3630 mV,30 C,1 Degree,127 Times,
6743,839506,70B3D5007000173E,1592513891468,FES Receiver,2020-06-18 22:58:11.605805,"['SS', 'Standalone', 'version_184']",7000173e,SENS_EVENT_MEASURE,72 cm,3630 mV,27 C,2 Degree,128 Times,
6742,839762,70B3D5007000173E,1592517491294,FES Receiver,2020-06-18 23:58:11.428597,"['SS', 'Standalone', 'version_184']",7000173e,SENS_EVENT_MEASURE,72 cm,3620 mV,28 C,2 Degree,129 Times,
6741,840269,70B3D5007000173E,1592524691000,FES Receiver,2020-06-19 01:58:11.125534,"['SS', 'Standalone', 'version_184']",7000173e,SENS_EVENT_MEASURE,68 cm,3620 mV,24 C,1 Degree,131 Times,
6740,840529,70B3D5007000173E,1592528290847,FES Receiver,2020-06-19 02:58:10.967481,"['SS', 'Standalone', 'version_184']",7000173e,SENS_EVENT_MEASURE,68 cm,3620 mV,26 C,1 Degree,132 Times,
6739,840774,70B3D5007000173E,1592531890718,FES Receiver,2020-06-19 03:58:10.834482,"['SS', 'Standalone', 'version_184']",7000173e,SENS_EVENT_MEASURE,68 cm,3610 mV,24 C,1 Degree,133 Times,
6738,841025,70B3D5007000173E,1592535490569,FES Receiver,2020-06-19 04:58:10.685767,"['SS', 'Standalone', 'version_184']",7000173e,SENS_EVENT_MEASURE,68 cm,3610 mV,22 C,2 Degree,134 Times,
6737,841549,70B3D5007000173E,1592542690291,FES Receiver,2020-06-19 06:58:10.431617,"['SS', 'Standalone', 'version_184']",7000173e,SENS_EVENT_MEASURE,66 cm,3610 mV,22 C,1 Degree,136 Times,
6736,841845,70B3D5007000173E,1592546290223,FES Receiver,2020-06-19 07:58:10.329728,"['SS', 'Standalone', 'version_184']",7000173e,SENS_EVENT_MEASURE,68 cm,3620 mV,27 C,2 Degree,137 Times,
6735,842151,70B3D5007000173E,1592549890917,FES Receiver,2020-06-19 08:58:11.013596,"['SS', 'Standalone', 'version_184']",7000173e,SENS_EVENT_MEASURE,68 cm,3640 mV,42 C,2 Degree,138 Times,
6734,842428,70B3D5007000173E,1592553490583,FES Receiver,2020-06-19 09:58:10.676297,"['SS', 'Standalone', 'version_184']",7000173e,SENS_EVENT_MEASURE,68 cm,3640 mV,46 C,2 Degree,139 Times,
6733,842699,70B3D5007000173E,1592557090594,FES Receiver,2020-06-19 10:58:10.682355,"['SS', 'Standalone', 'version_184']",7000173e,SENS_EVENT_MEASURE,62 cm,3640 mV,40 C,1 Degree,140 Times,
6732,842961,70B3D5007000173E,1592560690269,FES Receiver,2020-06-19 11:58:10.353032,"['SS', 'Standalone', 'version_184']",7000173e,SENS_EVENT_MEASURE,64 cm,3640 mV,31 C,2 Degree,141 Times,
6731,843246,70B3D5007000173E,1592564290139,FES Receiver,2020-06-19 12:58:10.220437,"['SS', 'Standalone', 'version_184']",7000173e,SENS_EVENT_MEASURE,128 cm,3630 mV,28 C,2 Degree,142 Times,
6730,843493,70B3D5007000173E,1592567889969,FES Receiver,2020-06-19 13:58:10.047845,"['SS', 'Standalone', 'version_184']",7000173e,SENS_EVENT_MEASURE,126 cm,3630 mV,30 C,2 Degree,143 Times,
6729,843758,70B3D5007000173E,1592571489837,FES Receiver,2020-06-19 14:58:09.909299,"['SS', 'Standalone', 'version_184']",7000173e,SENS_EVENT_MEASURE,124 cm,3630 mV,30 C,3 Degree,144 Times,
6728,844012,70B3D5007000173E,1592575089691,FES Receiver,2020-06-19 15:58:09.760579,"['SS', 'Standalone', 'version_184']",7000173e,SENS_EVENT_MEASURE,126 cm,3640 mV,34 C,2 Degree,145 Times,
6727,844277,70B3D5007000173E,1592578689518,FES Receiver,2020-06-19 16:58:09.582674,"['SS', 'Standalone', 'version_184']",7000173e,SENS_EVENT_MEASURE,126 cm,3640 mV,35 C,3 Degree,146 Times,
6726,844542,70B3D5007000173E,1592582289449,FES Receiver,2020-06-19 17:58:09.511574,"['SS', 'Standalone', 'version_184']",7000173e,SENS_EVENT_MEASURE,126 cm,3640 mV,37 C,2 Degree,147 Times,
6725,844750,70B3D5007000173E,1592585889280,FES Receiver,2020-06-19 18:58:09.336867,"['SS', 'Standalone', 'version_184']",7000173e,SENS_EVENT_MEASURE,124 cm,3640 mV,37 C,2 Degree,148 Times,
6724,844972,70B3D5007000173E,1592589490636,FES Receiver,2020-06-19 19:58:10.78204,"['SS', 'Standalone', 'version_184']",7000173e,SENS_EVENT_MEASURE,122 cm,3640 mV,33 C,3 Degree,149 Times,
6723,845182,70B3D5007000173E,1592593090486,FES Receiver,2020-06-19 20:58:10.630602,"['SS', 'Standalone', 'version_184']",7000173e,SENS_EVENT_MEASURE,122 cm,3630 mV,30 C,2 Degree,150 Times,
6722,845385,70B3D5007000173E,1592596690317,FES Receiver,2020-06-19 21:58:10.456942,"['SS', 'Standalone', 'version_184']",7000173e,SENS_EVENT_MEASURE,120 cm,3630 mV,27 C,2 Degree,151 Times,
6721,845592,70B3D5007000173E,1592600290168,FES Receiver,2020-06-19 22:58:10.303661,"['SS', 'Standalone', 'version_184']",7000173e,SENS_EVENT_MEASURE,120 cm,3620 mV,27 C,3 Degree,152 Times,
6720,845828,70B3D5007000173E,1592603890163,FES Receiver,2020-06-19 23:58:10.293878,"['SS', 'Standalone', 'version_184']",7000173e,SENS_EVENT_MEASURE,120 cm,3620 mV,25 C,2 Degree,153 Times,
